lat,lon,Enb.avg_income,Enb.woz,Enbp.high_education,Enbp.independent,Enbp.low_education,Enbp.unemployed,Gcb.buurt,Gcb.buurtcode,Inp.Grey,Pnb.cohesion,Pnb.diversity,Pnb.good_life,Pnb.pop,Pnbp.complains_aq,Pnbp.complains_noise,Pnbp.feels_unsafe,Pnbp.mostly_by_car,Pnbp.mostly_walking,Pnbp.unhappy,Vc.milieuzone,Vc.mode_species,Vc.mode_tree_species,Vn.PM10_avg_2020,Vn.PM10_avg_2021,Vn.PM10_avg_2022,Vn.med_tree_height,Vn.number_species,Vn.number_tree_species,Vn.number_trees,Vn.prec_ann,Vn.tavg_ann,Vnp.Green
51416,5473,,,,,,,Gennep,726,0.6151273998633291,,,,0.0,,,,,,,0,,Es,,,,10.5,,4.0,20.0,64.5,9.945994059244791,0.8508568546572955
51416,5474,,,,,,,Gennep,726,0.7940236729880016,,,,0.0,,,,,,,0,MENTHA AQUATICA,Gewone plataan,,,,10.5,1.0,1.0,21.0,64.5,9.945994059244791,0.869055559152702
51416,5475,,,,,,,Gennep,726,0.6816345678611373,,,,0.0,,,,,,,0,TANACETUM VULGARE,Gewone plataan,,,,10.5,2.0,1.0,19.0,64.5,9.945994059244791,0.95
51416,5476,,,,,,,Gennep,726,0.40806058751151797,,,,0.0,,,,,,,0,,Populier,,,,18.75,,2.0,2.0,64.5,9.945994059244791,0.95
51416,5477,53.6,328.0,54.3,79.8,13.6,2.0,Genneperzijde,223,0.2766075574688601,6.7,0.27,8.4,34.0,23.0,47.0,5.0,65.0,18.0,4.0,0,,,,,,,,,,,,0.6972260375576876
51416,5478,53.6,328.0,54.3,79.8,13.6,2.0,Genneperzijde,223,0.5398108707547234,6.7,0.27,8.4,34.0,23.0,47.0,5.0,65.0,18.0,4.0,0,BELLIS PERENNIS,Zilverlinde cv,,,,7.5,1.0,9.0,24.0,64.5,9.945994059244791,0.3608060702243547
51416,5479,53.6,328.0,54.3,79.8,13.6,2.0,Genneperzijde,223,0.20594614522879673,6.7,0.27,8.4,34.0,23.0,47.0,5.0,65.0,18.0,4.0,0,,Els,,,,13.5,,3.0,10.0,64.5,9.945994059244791,0.2596379939868637
51416,5480,53.6,328.0,54.3,79.8,13.6,2.0,Genneperzijde,223,0.3613679802755676,6.7,0.27,8.4,34.0,23.0,47.0,5.0,65.0,18.0,4.0,0,,Zomereik,,,,13.5,,1.0,4.0,64.5,9.945994059244791,0.36534124949692587
51416,5481,53.6,328.0,54.3,79.8,13.6,2.0,Genneperzijde,223,0.34451851429479874,6.7,0.27,8.4,34.0,23.0,47.0,5.0,65.0,18.0,4.0,0,,Zomereik,,,,13.5,,1.0,10.0,64.5,9.945994059244791,0.703605532115522
51416,5482,53.6,328.0,54.3,79.8,13.6,2.0,Genneperzijde,223,0.3891193037778784,6.7,0.27,8.4,34.0,23.0,47.0,5.0,65.0,18.0,4.0,0,,Zomereik,,,,21.0,,4.0,14.0,64.5,9.945994059244791,0.5048383174574738
51416,5483,53.6,328.0,54.3,79.8,13.6,2.0,Genneperzijde,223,0.7788791948451043,6.7,0.27,8.4,34.0,23.0,47.0,5.0,65.0,18.0,4.0,0,,Zomereik,,,,7.5,,4.0,13.0,64.5,9.945994059244791,0.26725810263805355
51416,5484,49.6,340.0,45.3,79.7,20.0,5.0,Gerardusplein,222,0.23652965758524683,7.1,0.45,8.1,61.0,27.0,45.0,7.0,73.0,23.0,6.0,0,,Amerikaanse linde,,,,10.5,,3.0,12.0,64.5,9.945994059244791,0.08023528269239737
51416,5485,49.6,340.0,45.3,79.7,20.0,5.0,Gerardusplein,222,0.19741368609246585,7.1,0.45,8.1,61.0,27.0,45.0,7.0,73.0,23.0,6.0,0,VINCA MINOR,Amerikaanse linde,,,,13.5,1.0,6.0,14.0,64.5,9.945994059244791,0.17671245068364072
